LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS50M_RANGE,WS10M_RANGE,WS50M,WS10M,T2M_RANGE
52.22961,21.01811,2015,05,22,   18.32,    8.84,   13.29,    1.60,    6.45,   68.26,  100.89,    3.41,    3.04,    4.55,    3.24,    9.48
52.22961,21.01811,2015,05,23,   14.50,    8.31,   11.59,    5.59,    6.77,   79.73,  100.47,    2.11,    1.91,    3.40,    2.38,    6.19
52.22961,21.01811,2015,05,24,   18.70,    8.15,   14.44,    0.85,    7.34,   71.68,  100.37,    3.84,    2.33,    2.51,    1.82,   10.55
52.22961,21.01811,2015,05,25,   20.79,   10.95,   16.00,    1.53,    8.44,   74.18,   99.94,    3.03,    2.80,    3.18,    2.33,    9.84
52.22961,21.01811,2015,05,26,   20.68,    8.46,   15.04,   11.02,    9.15,   85.00,   99.45,   11.19,    8.67,    5.88,    4.58,   12.22
52.22961,21.01811,2015,05,27,   14.59,    8.22,   11.05,    3.90,    5.94,   72.04,   99.84,    4.55,    5.21,    9.06,    6.45,    6.37
52.22961,21.01811,2015,05,28,   17.49,    5.42,   12.02,    0.00,    5.53,   63.09,  100.08,    3.72,    3.27,    5.77,    4.01,   12.07
52.22961,21.01811,2015,05,29,   20.34,    5.96,   14.49,    0.06,    6.48,   62.76,   99.90,    5.32,    2.62,    4.18,    2.84,   14.38
52.22961,21.01811,2015,05,30,   22.44,   10.67,   16.88,    0.59,    7.97,   66.07,   99.71,    3.55,    4.66,    7.27,    5.00,   11.77
52.22961,21.01811,2015,05,31,   18.59,    7.77,   13.71,    0.00,    5.70,   58.40,  100.38,    4.57,    3.72,    4.88,    3.41,   10.82
52.22961,21.01811,2015,06,01,   24.60,    9.40,   18.52,    0.12,    8.26,   62.13,  100.27,    6.04,    4.03,    5.53,    3.80,   15.21
52.22961,21.01811,2015,06,02,   26.12,   14.10,   20.90,    0.26,   10.28,   66.53,  100.21,    5.98,    5.02,    6.18,    4.05,   12.02
52.22961,21.01811,2015,06,03,   28.19,   15.43,   22.22,    0.14,   10.38,   62.07,  100.34,    5.36,    3.64,    7.76,    5.37,   12.76
52.22961,21.01811,2015,06,04,   21.15,   10.52,   16.23,    0.01,    5.84,   51.27,  101.21,    2.29,    2.81,    6.35,    4.38,   10.63
52.22961,21.01811,2015,06,05,   22.84,    7.77,   16.34,    0.00,    5.84,   50.96,  101.37,    6.19,    2.77,    3.32,    2.05,   15.06
52.22961,21.01811,2015,06,06,   26.60,   10.31,   19.32,    0.00,    7.22,   52.04,  101.03,    3.15,    3.64,    6.73,    4.37,   16.29
52.22961,21.01811,2015,06,07,   27.54,   14.20,   20.19,    0.70,    9.55,   65.15,  100.99,    7.90,    6.43,    5.23,    3.86,   13.34
52.22961,21.01811,2015,06,08,   21.97,   12.50,   16.28,    1.80,    6.63,   57.92,  101.09,    5.58,    2.96,    5.26,    3.71,    9.47
52.22961,21.01811,2015,06,09,   16.64,   10.71,   13.78,    4.18,    6.65,   68.21,  101.06,    3.02,    2.69,    6.65,    4.89,    5.92
52.22961,21.01811,2015,06,10,   21.06,   10.43,   15.78,    0.08,    7.04,   63.50,  101.04,    4.83,    2.04,    3.88,    2.77,   10.63
52.22961,21.01811,2015,06,11,   23.17,   10.59,   17.75,    0.00,    6.45,   51.14,  100.71,    2.10,    1.40,    2.53,    1.91,   12.58
52.22961,21.01811,2015,06,12,   26.59,   11.37,   20.43,    0.39,    7.91,   52.81,  100.27,    6.81,    3.41,    5.00,    3.35,   15.22
52.22961,21.01811,2015,06,13,   27.60,   17.10,   22.54,    2.14,   10.70,   62.29,   99.62,    5.91,    3.39,    4.95,    3.38,   10.50
52.22961,21.01811,2015,06,14,   26.08,   16.94,   21.76,    1.36,   10.74,   65.42,   99.37,    4.82,    4.92,    6.62,    4.56,    9.14
52.22961,21.01811,2015,06,15,   21.24,   10.98,   17.63,    2.19,    8.56,   67.70,   99.75,    4.77,    3.05,    5.50,    3.95,   10.26
52.22961,21.01811,2015,06,16,   19.25,    7.66,   14.08,    0.00,    5.29,   52.91,  100.40,    3.00,    2.62,    4.84,    3.47,   11.60
52.22961,21.01811,2015,06,17,   20.42,    8.66,   15.53,    0.01,    5.89,   53.74,  100.47,    5.30,    3.90,    4.03,    2.93,   11.76
52.22961,21.01811,2015,06,18,   18.68,   11.46,   15.01,    0.10,    6.11,   57.30,   99.90,    2.05,    2.47,    5.57,    3.55,    7.22
52.22961,21.01811,2015,06,19,   19.20,   10.21,   14.76,    3.35,    7.09,   67.23,   99.64,    4.55,    3.74,    4.92,    3.29,    8.99
52.22961,21.01811,2015,06,20,   17.93,    7.76,   13.81,    1.47,    6.85,   69.36,   99.90,    3.55,    1.77,    3.85,    2.52,   10.18
